band_id,genre,song_id,date,loudness,length,energy,copies_sold
808,Psychedelictrance,6534,2018-01-01,79,3.345113726982826,137,0.39054306805145567
1143,Gothicsynth,9234,2018-01-01,78,4.912700250404501,86,0.5425426328336361
1263,Indiedisco,10168,2018-01-01,99,5.889923197828455,159,0.7230728504173871
744,Folktronica,6017,2018-01-01,92,5.639068094153969,143,0.9736569169057285
606,Trip-pop,4805,2018-01-01,72,5.837072221010935,144,1.0930296448313963
1022,Futuristicountry,8189,2018-01-01,71,3.6525080845315276,85,1.337808893559532
807,Folktronica,6514,2018-01-01,79,4.760047533915031,156,1.7953006360079824
446,Chillgaze,3577,2018-01-02,73,3.7902892921738296,NA,0.010307919220831617
833,Electroswing,6719,2018-01-02,118,3.135715493308155,NA,0.01967892192819172
861,Electroswing,6955,2018-01-02,106,2.819968489495045,NA,0.020798525511464473
1121,Gothicsynth,9057,2018-01-02,95,2.761223265680631,NA,0.05359302420110933
254,Futuristicountry,2006,2018-01-02,88,3.4565915100193623,NA,0.08824972187616832
609,Electroswing,4844,2018-01-02,88,6.661799897334837,115,0.14675444616586983
679,Folktronica,5437,2018-01-02,85,2.3271880461699386,145,0.43805358990272514
98,Folktronica,772,2018-01-03,68,4.79476389392384,138,0.15639497910958
221,Chillgaze,1720,2018-01-03,79,3.1762377882203587,95,0.16038167484518306
1430,Folktronica,11454,2018-01-03,93,4.6296988175124545,160,0.3413296227732532
1132,Futuristicountry,9164,2018-01-03,93,3.642387719231009,98,0.3913685805854711
426,Psychedelictrance,3395,2018-01-03,67,5.973775658839827,76,0.5260659676759661
865,Folktronica,6988,2018-01-03,93,4.6950270707206565,159,0.8616636287495141
1154,Neoclassicalwave,9336,2018-01-04,77,2.3487118060003103,83,0.20946265633214917
880,Chillgaze,7102,2018-01-04,53,3.9717710583276884,NA,0.03452397135596963
196,Folktronica,1526,2018-01-04,77,3.298410569319107,142,0.09393488855296296
1137,Futuristicountry,9188,2018-01-04,86,-1,NA,0.10556695974680197
1154,Neoclassicalwave,9336,2018-01-04,77,2.3487118060003103,83,0.20946265633214917
1143,Gothicsynth,9241,2018-01-04,116,5.469506189539476,91,0.4158848922664278
745,Psychedelictrance,6026,2018-01-04,64,2.5205730891875486,99,0.4369682919474097
313,Electroswing,2450,2018-01-04,125,3.8499606162345748,122,1.0922588658232586
651,Trip-pop,5177,2018-01-04,74,3.4293315297891405,146,1.5180523589186647
1084,Folktronica,8731,2018-01-05,97,2.1406687406388474,NA,0.008443910931085786
405,Trip-pop,3219,2018-01-05,110,4.915859546768777,126,0.10762679536908083
1108,Electroswing,8954,2018-01-05,92,3.771632025556822,NA,0.373027275664613
818,Folktronica,6603,2018-01-05,91,3.0893853481601883,120,0.5492689814699439
496,Electroswing,3939,2018-01-05,87,9.071623489957918,142,0.5989205571741801
360,Folktronica,2858,2018-01-05,92,2.7762181862457234,178,0.8951033484739331
367,Psychedelictrance,2923,2018-01-05,42,6.450369233661676,119,1.1247070136377006
642,Chillgaze,5113,2018-01-06,78,6.286702300880764,155,0.19223723431611411
380,Psychedelictrance,3036,2018-01-06,49,4.856262953322554,119,0.24038486352294625
658,Folktronica,5243,2018-01-06,101,3.020149451605979,129,0.8973515082058601
1389,Gothicsynth,11136,2018-01-06,93,15.024499979615145,98,1.1310326368111498
945,Folktronica,7606,2018-01-06,88,9.409776983115876,116,1.5354179318073737
1034,Folktronica,8297,2018-01-07,95,3.3536575784443547,141,0.7635949434398391
1039,Folktronica,8336,2018-01-07,75,3.906875921106981,NA,1.910856517564255
993,Folktronica,7989,2018-01-07,81,2.1014677236795056,124,2.1556765492150656
549,Folktronica,4362,2018-01-07,101,3.951678815068564,160,2.417198325071881
1100,Psychedelictrance,8890,2018-01-08,83,4.6688071761980385,NA,0.07263290946503828
1027,Psychedelictrance,8232,2018-01-08,69,2.46533234033669,134,0.16513629925496082
876,Psychedelictrance,7067,2018-01-08,60,4.749858154475517,122,0.18135510081178877
545,Folktronica,4347,2018-01-08,73,1.88722537367872,162,0.44066874814587376
544,Folktronica,4338,2018-01-08,99,2.8541134860211845,144,0.748146512862021
1193,Folktronica,9654,2018-01-08,69,8.052016824595395,143,1.530113781669049
971,Folktronica,7777,2018-01-08,59,6.269669488736891,157,1.7881627085313112
1161,Folktronica,9403,2018-01-09,121,4.9165321366536805,NA,0.06341749211590836
776,Folktronica,6251,2018-01-09,89,4.36798826600309,159,0.402144783629664
630,Folktronica,5023,2018-01-09,82,3.2802718583613415,145,1.1828499130709589
1408,Chillgaze,11252,2018-01-10,81,5.650446257364682,NA,0.11760641760034851
715,Folktronica,5768,2018-01-10,104,3.5553879118896816,169,0.1707042027677066
1401,Futuristicountry,11209,2018-01-10,98,8.142274734781706,96,0.18252106016799263
978,Folktronica,7847,2018-01-10,84,3.8669450557066054,158,0.18585552115577067
187,Neoclassicalwave,1457,2018-01-10,78,9.013973608888714,105,0.26403999390181987
